nombre_organismo;DIR3
"Consejería de Economía, Industria, Comercio y Autónomos";"A05033180"
"Dirección General de Autónomos";"A05046474"
"Dirección General de Comercio y Consumo";"A05030991"
"Dirección General de Industria";"A05030992"
"Dirección General de Promoción y Diversificación Económica";"A05022215"
"Secretaría General Técnica de Economía, Industria, Comercio y Autónomos";"A05033181"
"Viceconsejería de Economía e Internacionalización";"A05033182"
"Viceconsejería de Industria, Comercio y Consumo";"A05030990"
