nombre_organismo;DIR3
"Consejería de Obras Públicas, Vivienda y Movilidad";"A05032833"
"Dirección General de Costas y Gestión del espacio marítimo canario";"A05047064"
"Dirección General de Infraestructura Viaria";"A05003601"
"Dirección General de Transportes y Movilidad";"A05003602"
"Instituto Canario de la Vivienda";"A05032835"
"Puertos Canarios";"A05003606"
"Secretaría General Técnica de Obras Públicas, Vivienda y Movilidad";"A05032834"
"Viceconsejería de Infraestructuras";"A05017191"
