nombre_organismo;DIR3
"Agencia Canaria de Investigación, Innovación y Sociedad de la Información";"A05017323"
"Consejería de Universidades, Ciencia e Innovación y Cultura";"A05046692"
"Dirección General de Cultura y Patrimonio Cultural";"A05047355"
"Dirección General de Innovación Cultural e Industrias Creativas";"A05047474"
"Dirección General de Ordenación, Innovación y de la Calidad Universitaria";"A05047013"
"Dirección General de Universidades e Investigación";"A05003416"
"Secretaría General Técnica de Universidades, Ciencia e Innovación y Cultura";"A05046712"
"Viceconsejería de Cultura y Patrimonio Cultural";"A05030997"
"Viceconsejería de Universidades e Investigación";"A05047012"
