nombre_organismo;DIR3
"Consejería de Transición Ecológica y Energía";"A05047664"
"Dirección General de Energía";"A05033178"
"Dirección General de Espacios Naturales y Biodiversidad";"A05047674"
"Dirección General de Transición Ecológica y Lucha contra el Cambio Climático";"A05033175"
"Secretaría General Técnica de Transición Ecológica y Energía";"A05047668"
"Viceconsejería de Transición Ecológica, Lucha contra el Cambio Climático y Energía";"A05033174"
