nombre_organismo;DIR3
"Consejería de Turismo y Empleo";"A05030988"
"Dirección General de Infraestructura, Sostenibilidad y Calidad Turística";"A05017155"
"Dirección General de Ordenación, Formación y Promoción Turística";"A05017156"
"Dirección General de Trabajo";"A05033137"
"Secretaría General Técnica de Turismo y Empleo";"A05030989"
"Servicio Canario de Empleo";"A05033138"
"Viceconsejería de Empleo";"A05033183"
"Viceconsejería de Turismo";"A05017154"
