nombre_organismo;DIR3
"Agencia Canaria de Protección del Medio Natural";"A05022869"
"Consejería de Política Territorial, Cohesión Territorial y Aguas";"A05047663"
"Dirección General de Aguas";"A05047671"
"Dirección General de Emergencias";"A05047673"
"Dirección General de Ordenación del Territorio y Cohesión Territorial";"A05047672"
"Secretaría General Técnica de Política Territorial, Cohesión Territorial y Aguas";"A05047667"
"Viceconsejería de Emergencias y Aguas";"A05047669"
"Viceconsejería de Planificación Territorial y Reto Demográfico";"A05047670"
